NewBasePrice,SellingStoresRatio,S_8qIm,S_Aunz,S_Mm5P,S_OzTP,S_UIpu,S_WeHS,S_qE16,S_sldf,S_xdDe,S_yo2Z,T_YXX
19.73,0.9509,False,False,False,False,False,False,False,False,False,True,False
20.21,0.5619,False,True,False,False,False,False,False,False,False,False,False
14.23,0.6745,False,False,False,False,False,False,False,True,False,False,False
22.98,0.1101999999999999,False,False,False,True,False,False,False,False,False,False,False
17.48,0.0138,False,False,False,False,False,False,False,False,True,False,True
18.78,0.8052,False,False,True,False,False,False,False,False,False,False,False
24.65,0.2525,False,False,False,False,False,False,False,False,False,False,False
20.74,0.3134,False,False,False,False,False,True,False,False,False,False,False
24.3,0.0619,False,False,True,False,False,False,False,False,False,False,True
20.08,0.1121,False,False,True,False,False,False,False,False,False,False,True
21.09,0.2193999999999999,False,False,False,False,False,False,False,False,False,False,False
24.23,0.1477,False,False,False,False,False,False,False,False,True,False,True
14.91,0.0351,False,False,False,False,False,False,False,False,False,True,True
19.48,0.2092999999999999,False,False,True,False,False,False,False,False,False,False,False
23.98,0.1221,False,False,False,True,False,False,False,False,False,False,False
22.28,0.2732,False,False,False,False,False,False,False,False,True,False,False
25.16,0.0348,False,False,False,False,True,False,False,False,False,False,True
16.11,0.469,False,False,True,False,False,False,False,False,False,False,False
14.48,0.1491,False,False,True,False,False,False,False,False,False,False,False
24.62,0.0635,False,False,False,False,False,True,False,False,False,False,True
21.73,0.7133,False,False,False,False,False,False,False,False,False,True,False
17.28,0.1761,False,False,True,False,False,False,False,False,False,False,False
26.33,0.1698,False,False,False,False,False,False,False,False,False,True,True
25.23,0.0638,False,False,False,False,False,False,False,False,True,False,True
17.23,0.1679,False,True,False,False,False,False,False,False,False,False,False
24.23,0.3927,False,False,False,False,False,False,False,False,True,False,False
25.44,0.1054,False,False,False,False,False,False,True,False,False,False,False
20.42,0.0896,False,False,False,False,False,False,False,False,True,False,False
23.96,0.1038,False,False,True,False,False,False,False,False,False,False,True
24.08,0.021,False,False,True,False,False,False,False,False,False,False,True
18.08,0.6337,False,False,False,False,False,False,False,False,False,True,False
18.91,0.1414,False,True,False,False,False,False,False,False,False,False,True
19.96,0.2686,False,False,False,False,False,False,False,False,True,False,False
16.96,0.0549,False,False,False,False,False,False,False,False,True,False,True
13.01,0.1301,False,False,False,False,False,False,False,False,False,True,True
